X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-13.279,-8.505,11.382.164,-25.120.356,0
-13.244,-8.494,11.382.164,-25.120.356,0
-13.223,-8.487,11.382.164,-25.120.356,0
-13.231,-8.487,11.382.164,-25.120.356,0
-13.219,-8.489,11.382.164,-25.120.356,0
-13.182,-8.504,11.382.164,-25.120.356,0
-13.157,-8.523,11.382.164,-25.120.356,0
-13.128,-8.529,11.382.164,-25.120.356,0
-13.146,-8.532,11.382.164,-25.120.356,0
-13.165,-853,11.382.164,-25.120.356,0
-13.201,-8.537,11.382.164,-25.120.356,0
-13.244,-8.547,11.382.164,-25.120.356,0
-13.249,-8.567,11.882.681,-20.535.195,0
-13.272,-8.592,11.882.681,-20.535.195,0
-13.246,-8.631,11.882.681,-20.535.195,0
-13.249,-8.666,11.882.681,-20.535.195,0
-13.268,-8.675,11.882.681,-20.535.195,0
-13.285,-866,11.882.681,-20.535.195,0
-13.305,-8.598,11.882.681,-20.535.195,0
-13.352,-8.526,11.882.681,-20.535.195,0
-13.344,-8.505,11.882.681,-20.535.195,0
-13.322,-8.545,11.882.681,-20.535.195,0
-13.264,-8.601,11.882.681,-20.535.195,0
-13.219,-8.656,11.882.681,-20.535.195,0
-13.193,-8.677,11.882.681,-20.535.195,0
-13.196,-866,11.882.681,-20.535.195,0
-13.211,-8.618,11.882.681,-20.535.195,0
-13.156,-8.586,11.848.565,-27.974.432,0
-13.078,-8.593,11.848.565,-27.974.432,0
-13.015,-8.611,11.848.565,-27.974.432,0
-12.956,-862,11.848.565,-27.974.432,0
-12.942,-8.594,11.848.565,-27.974.432,0
-12.904,-8.532,11.848.565,-27.974.432,0
-12.896,-8.462,11.848.565,-27.974.432,0
-12.881,-8.402,11.848.565,-27.974.432,0
-12.862,-8.356,11.848.565,-27.974.432,0
-12.855,-834,11.848.565,-27.974.432,0
-12.806,-8.337,11.848.565,-27.974.432,0
-12.818,-8.337,11.848.565,-27.974.432,0
-1.285,-8.331,11.848.565,-27.974.432,0
-12.854,-8.303,11.848.565,-27.974.432,0
-12.872,-8.276,11.848.565,-27.974.432,0
-12.858,-8.257,11.848.565,-27.974.432,0
-12.864,-8.243,10.577.691,-2.292.297,0
-12.887,-8.244,10.577.691,-2.292.297,0
-1.289,-8.242,10.577.691,-2.292.297,0
-12.914,-8.234,10.577.691,-2.292.297,0
-12.933,-8.239,10.577.691,-2.292.297,0
-12.933,-8.244,10.577.691,-2.292.297,0
-12.936,-8.254,10.577.691,-2.292.297,0
-12.923,-8.258,10.577.691,-2.292.297,0
-12.956,-8.239,10.577.691,-2.292.297,0
-12.961,-8.192,10.577.691,-2.292.297,0
-13.034,-8.113,10.577.691,-2.292.297,0
-13.115,-8.046,10.577.691,-2.292.297,0
-13.084,-8.063,10.577.691,-2.292.297,0
-13.054,-8.108,10.577.691,-2.292.297,0
-12.989,-8.161,10.577.691,-2.292.297,0
-12.975,-8.166,12.503.764,-34.587.314,0
-13.022,-8.137,12.503.764,-34.587.314,0
-13.055,-8.083,12.503.764,-34.587.314,0
-13.102,-8.058,12.503.764,-34.587.314,0
-13.099,-8.064,12.503.764,-34.587.314,0
-13.091,-8.087,12.503.764,-34.587.314,0
-13.115,-8.097,12.503.764,-34.587.314,0
-13.108,-8.107,12.503.764,-34.587.314,0
-13.101,-8.109,12.503.764,-34.587.314,0
-13.067,-8.102,12.503.764,-34.587.314,0
-13.048,-8.085,12.503.764,-34.587.314,0
-13.047,-8.065,12.503.764,-34.587.314,0
-13.057,-8.064,12.503.764,-34.587.314,0
-1.307,-8.079,12.503.764,-34.587.314,0
-13.067,-8.103,12.503.764,-34.587.314,0
-13.106,-812,15.339.924,-5.599.251,0
-13.149,-8.133,15.339.924,-5.599.251,0
-0.12302,0.06861,47.88465,-9.978625,1
-13.541,2.405,4.367.865,-6.385.902,1
-13.535,2.447,4.367.865,-6.385.902,1
-13.533,2.519,4.367.865,-6.385.902,1
-13.588,2.642,4.367.865,-6.385.902,1
-13.606,2.703,4.367.865,-6.385.902,1
-13.626,2.637,4.367.865,-6.385.902,1
-13.643,2.491,4.367.865,-6.385.902,1
-13.645,2.338,43.776.028,-61.268.115,1
-13.668,221,43.776.028,-61.268.115,1
-13.685,2.151,43.776.028,-61.268.115,1
-13.697,2.123,43.776.028,-61.268.115,1
-13.707,2.125,43.776.028,-61.268.115,1
-13.695,2.121,43.776.028,-61.268.115,1
-13.684,2.117,43.776.028,-61.268.115,1
-13.701,2.104,43.776.028,-61.268.115,1
-13.748,209,43.776.028,-61.268.115,1
-13.823,2.076,43.776.028,-61.268.115,1
-13.891,2.034,43.776.028,-61.268.115,1
-13.959,1.943,43.776.028,-61.268.115,1
-1.399,1.833,43.776.028,-61.268.115,1
-13.986,175,43.776.028,-61.268.115,1
-13.993,1.695,43.776.028,-61.268.115,1
-13.992,1.658,4.410.651,-5.984.484,1
-13.988,1.619,4.410.651,-5.984.484,1
-13.969,1.589,4.410.651,-5.984.484,1
-1.391,1.585,4.410.651,-5.984.484,1
-13.824,1.587,4.410.651,-5.984.484,1
-13.774,1.566,4.410.651,-5.984.484,1
-13.754,1.574,4.410.651,-5.984.484,1
-13.741,1.598,4.410.651,-5.984.484,1
-13.727,1.629,4.410.651,-5.984.484,1
-13.727,165,4.410.651,-5.984.484,1
-13.714,1.701,4.410.651,-5.984.484,1
-13.674,1.768,4.410.651,-5.984.484,1
-1.361,1.823,4.410.651,-5.984.484,1
-13.508,1.859,4.410.651,-5.984.484,1
-13.397,1.885,4.410.651,-5.984.484,1
-13.267,1.922,43.243.908,-9.791.286,1
-13.193,2.023,43.243.908,-9.791.286,1
-13.185,2.052,43.243.908,-9.791.286,1
-13.172,0.02,43.243.908,-9.791.286,1
-13.176,1.905,43.243.908,-9.791.286,1
-13.177,1.839,43.243.908,-9.791.286,1
-13.208,181,43.243.908,-9.791.286,1
-13.246,1.826,43.243.908,-9.791.286,1
-13.274,1.852,43.243.908,-9.791.286,1
-13.294,186,43.243.908,-9.791.286,1
-13.321,185,43.243.908,-9.791.286,1
-13.372,1.859,43.243.908,-9.791.286,1
-13.393,1.831,43.243.908,-9.791.286,1
-13.423,1.792,43.243.908,-9.791.286,1
-13.425,1.727,43.243.908,-9.791.286,1
-1.339,1.671,43.243.908,-9.791.286,1
-13.336,1.638,47.027.702,-62.723.303,1
-13.252,1.599,47.027.702,-62.723.303,1
-13.236,1.556,47.027.702,-62.723.303,1
-13.255,1.512,47.027.702,-62.723.303,1
-1.328,1.468,47.027.702,-62.723.303,1
-13.307,1.455,47.027.702,-62.723.303,1
-13.303,1.464,47.027.702,-62.723.303,1
-13.286,1.489,47.027.702,-62.723.303,1
-13.246,1.508,47.027.702,-62.723.303,1
-13.193,1.514,47.027.702,-62.723.303,1
-13.136,1.509,47.027.702,-62.723.303,1
-13.072,1.493,47.027.702,-62.723.303,1
-13.038,1.465,47.027.702,-62.723.303,1
-13.087,1.424,47.027.702,-62.723.303,1
-13.147,1.379,47.027.702,-62.723.303,1
-13.218,1.344,47.027.702,-62.723.303,1
-13.245,1.317,47.027.702,-62.723.303,1
-13.254,1.302,47.027.702,-62.723.303,1
-13.299,1.293,47.027.702,-62.723.303,1
-13.318,1.279,47.027.702,-62.723.303,1
-13.372,1.299,47.027.702,-62.723.303,1
-13.416,1.282,47.027.702,-62.723.303,1
-13.475,1.218,47.027.702,-62.723.303,1
-13.538,1.129,47.027.702,-62.723.303,1
-13.564,102,47.027.702,-62.723.303,1
-13.595,942,47.027.702,-62.723.303,1
-13.636,91,47.027.702,-62.723.303,1
-13.681,941,47.027.702,-62.723.303,1
-13.715,979,47.027.702,-62.723.303,1
-13.689,998,47.027.702,-62.723.303,1
-1.367,1.018,4.479.597,-6.016.244,1
-1.367,1.037,4.479.597,-6.016.244,1
-137,1.053,4.479.597,-6.016.244,1
-13.731,1.056,4.479.597,-6.016.244,1
-13.722,1.038,4.479.597,-6.016.244,1
-13.695,1.014,4.479.597,-6.016.244,1
-13.653,1.003,4.479.597,-6.016.244,1
-1.365,998,4.479.597,-6.016.244,1
-13.691,985,4.479.597,-6.016.244,1
-13.718,952,4.479.597,-6.016.244,1
-13.759,944,4.479.597,-6.016.244,1
-13.791,942,4.479.597,-6.016.244,1
-13.843,922,4.479.597,-6.016.244,1
-13.908,907,4.479.597,-6.016.244,1
-13.929,9,4.479.597,-6.016.244,1
-1.395,915,4.479.597,-6.016.244,1
-13.959,924,46.563.095,-7.273.426,1
-1.396,916,46.563.095,-7.273.426,1
-13.967,892,46.563.095,-7.273.426,1
-13.962,859,46.563.095,-7.273.426,1
-13.957,84,46.563.095,-7.273.426,1
-13.928,819,46.563.095,-7.273.426,1
-1.392,796,46.563.095,-7.273.426,1
-13.907,779,46.563.095,-7.273.426,1
-13.915,753,46.563.095,-7.273.426,1
-13.924,749,46.563.095,-7.273.426,1
-13.957,777,46.563.095,-7.273.426,1
-17.487,-4.717,-4.346.794,-17.113.541,2
-17.558,-4.664,-4.346.794,-17.113.541,2
-17.611,-4.617,-4.346.794,-17.113.541,2
-17.551,-4.559,-4.346.794,-17.113.541,2
-17.461,-4.533,-4.346.794,-17.113.541,2
-17.365,-4.519,-4.346.794,-17.113.541,2
-17.238,-4.483,-4.346.794,-17.113.541,2
-17.154,-4.422,-4.346.794,-17.113.541,2
-17.136,-4.355,-4.346.794,-17.113.541,2
-17.125,-4.323,-31.415.215,-3.231.413,2
-17.052,-4.289,-31.415.215,-3.231.413,2
-16.947,-4.284,-31.415.215,-3.231.413,2
-16.941,-434,-31.415.215,-3.231.413,2
-16.952,-444,-31.415.215,-3.231.413,2
-17.063,-4.563,-31.415.215,-3.231.413,2
-1.737,-4.728,-31.415.215,-3.231.413,2
-17.828,-4.944,-31.415.215,-3.231.413,2
-18.331,-5.199,-31.415.215,-3.231.413,2
-18.695,-5.447,-31.415.215,-3.231.413,2
-18.975,-5.708,-31.415.215,-3.231.413,2
-19.194,-5.911,-31.415.215,-3.231.413,2
-19.333,-6.021,-31.415.215,-3.231.413,2
-19.309,-6.057,-31.415.215,-3.231.413,2
-19.154,-6.072,-31.415.215,-3.231.413,2
-18.992,-6.101,-3.903.991,-86.487.997,2
-18.872,-6.173,-3.903.991,-86.487.997,2
-18.742,-6.256,-3.903.991,-86.487.997,2
-18.669,-6.332,-3.903.991,-86.487.997,2
-1.861,-6.369,-3.903.991,-86.487.997,2
-18.549,-6.393,-3.903.991,-86.487.997,2
-18.576,-6.392,-3.903.991,-86.487.997,2
-18.557,-6.333,-3.903.991,-86.487.997,2
-18.501,-6.218,-3.903.991,-86.487.997,2
-18.446,-6.092,-3.903.991,-86.487.997,2
-18.411,-5.987,-3.903.991,-86.487.997,2
-1.839,-5.859,-3.903.991,-86.487.997,2
-18.312,-5.716,-3.903.991,-86.487.997,2
-18.247,-5.639,-3.903.991,-86.487.997,2
-18.264,-5.627,-3.903.991,-86.487.997,2
-1.833,-5.674,-3.903.991,-86.487.997,2
-184,-5.736,-36.492.397,-35.126.894,2
-18.437,-5.751,-36.492.397,-35.126.894,2
-18.447,-573,-36.492.397,-35.126.894,2
-18.415,-5.682,-36.492.397,-35.126.894,2
-1.832,-5.652,-36.492.397,-35.126.894,2
-18.246,-5.656,-36.492.397,-35.126.894,2
-18.215,-5.659,-36.492.397,-35.126.894,2
-18.228,-5.703,-36.492.397,-35.126.894,2
-18.251,-581,-36.492.397,-35.126.894,2
-18.295,-5.959,-36.492.397,-35.126.894,2
-18.389,-6.125,-36.492.397,-35.126.894,2
-18.479,-6.254,-36.492.397,-35.126.894,2
-1.857,-6.378,-36.492.397,-35.126.894,2
-18.624,-6.477,-36.492.397,-35.126.894,2
-18.656,-661,-36.492.397,-35.126.894,2
-18.689,-679,-36.492.397,-35.126.894,2
-18.736,-6.958,-36.492.397,-35.126.894,2
-18.833,-714,-36.492.397,-35.126.894,2
-18.913,-7.308,-36.492.397,-35.126.894,2
-18.968,-7.483,-36.492.397,-35.126.894,2
-1.898,-7.656,-36.492.397,-35.126.894,2
-18.941,-7.763,-36.492.397,-35.126.894,2
-1.899,-7.855,-36.492.397,-35.126.894,2
-19.105,-7.901,-36.492.397,-35.126.894,2
-19.115,-7.919,-36.492.397,-35.126.894,2
-19.044,-7.934,-36.492.397,-35.126.894,2
-18.904,-7.945,-36.492.397,-35.126.894,2
-18.766,-7.959,-36.492.397,-35.126.894,2
-18.677,-7.962,-36.492.397,-35.126.894,2
-18.609,-7.991,-36.492.397,-35.126.894,2
-18.568,-805,-36.492.397,-35.126.894,2
-18.547,-8.111,-36.492.397,-35.126.894,2
-18.526,-8.152,-36.492.397,-35.126.894,2
-18.522,-8.197,-36.492.397,-35.126.894,2
-18.509,-8.241,-36.492.397,-35.126.894,2
-18.447,-828,-36.492.397,-35.126.894,2
-1.836,-8.308,-36.492.397,-35.126.894,2
-18.242,-8.336,-36.492.397,-35.126.894,2
-18.108,-8.379,-36.492.397,-35.126.894,2
-1.799,-8.429,-36.492.397,-35.126.894,2
-17.868,-846,-36.492.397,-35.126.894,2
-17.734,-846,-36.492.397,-35.126.894,2
-17.608,-8.464,-36.492.397,-35.126.894,2
-1.751,-8.446,-36.492.397,-35.126.894,2
-17.412,-8.436,-36.492.397,-35.126.894,2
-17.307,-8.447,-3.775.814,-2.026.845,2
-17.203,-8.482,-3.775.814,-2.026.845,2
-17.112,-8.535,-3.775.814,-2.026.845,2
-17.013,-8.584,-3.775.814,-2.026.845,2
-16.909,-8.622,-3.775.814,-2.026.845,2
-16.851,-8.652,-3.775.814,-2.026.845,2
-16.819,-8.665,-3.775.814,-2.026.845,2
-16.779,-8.681,-3.775.814,-2.026.845,2
-16.754,-8.722,-3.775.814,-2.026.845,2
-16.744,-8.805,-3.775.814,-2.026.845,2
-16.775,-8.904,-3.775.814,-2.026.845,2
-16.817,-8.976,-3.775.814,-2.026.845,2
-16.951,-9.048,-3.775.814,-2.026.845,2
-17.051,-9.102,-3.775.814,-2.026.845,2
-17.095,-9.153,-3.775.814,-2.026.845,2
-17.062,-9.179,-37.037.617,-3.716.511,2
-16.975,-9.197,-37.037.617,-3.716.511,2
-16.945,-9.214,-37.037.617,-3.716.511,2
-16.969,-9.246,-37.037.617,-3.716.511,2
-17.058,-9.306,-37.037.617,-3.716.511,2
-17.179,-9.347,-37.037.617,-3.716.511,2
-17.274,-9.381,-37.037.617,-3.716.511,2
-17.337,-9.409,-37.037.617,-3.716.511,2
-17.357,-9.441,-37.037.617,-3.716.511,2
-17.358,-9.486,-37.037.617,-3.716.511,2
-17.345,-9.525,-37.037.617,-3.716.511,2
-17.313,-953,-37.037.617,-3.716.511,2
19.468,-7.784,18.776.932,-8.321.433,3
18.819,-8.035,18.776.932,-8.321.433,3
18.172,-8.267,18.776.932,-8.321.433,3
17.678,-8.432,18.776.932,-8.321.433,3
17.233,-8.542,18.776.932,-8.321.433,3
16.902,-8.629,18.776.932,-8.321.433,3
16.661,-87,18.776.932,-8.321.433,3
16.583,-876,18.776.932,-8.321.433,3
16.548,-8.804,18.776.932,-8.321.433,3
16.539,-8.835,18.776.932,-8.321.433,3
16.565,-8.838,18.776.932,-8.321.433,3
16.611,-8.814,18.776.932,-8.321.433,3
16.634,-8.791,18.776.932,-8.321.433,3
16.734,-8.784,18.776.932,-8.321.433,3
16.902,-8.753,18.776.932,-8.321.433,3
17.043,-874,18.776.932,-8.321.433,3
17.125,-8.755,18.776.932,-8.321.433,3
17.117,-8.783,18.776.932,-8.321.433,3
16.982,-8.825,18.776.932,-8.321.433,3
16.849,-887,18.776.932,-8.321.433,3
16.727,-8.885,18.776.932,-8.321.433,3
16.575,-8.881,18.776.932,-8.321.433,3
16.428,-8.896,18.776.932,-8.321.433,3
16.335,-8.898,1.574.112,-82.667.265,3
16.216,-891,1.574.112,-82.667.265,3
16.116,-8.934,1.574.112,-82.667.265,3
16.063,-8.973,1.574.112,-82.667.265,3
15.996,-902,1.574.112,-82.667.265,3
15.918,-9.059,1.574.112,-82.667.265,3
15.868,-9.099,1.574.112,-82.667.265,3
15.878,-9.111,1.574.112,-82.667.265,3
15.985,-9.097,1.574.112,-82.667.265,3
16.211,-9.052,1.574.112,-82.667.265,3
164,-9.013,1.574.112,-82.667.265,3
16.574,-9.001,1.574.112,-82.667.265,3
16.802,-8.975,1.574.112,-82.667.265,3
16.874,-8.887,1.574.112,-82.667.265,3
16.757,-8.775,1.574.112,-82.667.265,3
16.604,-867,1.574.112,-82.667.265,3
16.509,-861,11.245.909,-58.550.515,3
16.331,-8.626,11.245.909,-58.550.515,3
16.185,-8.686,11.245.909,-58.550.515,3
16.093,-8.737,11.245.909,-58.550.515,3
16.122,-8.748,11.245.909,-58.550.515,3
11.171,-20.272,-14.856.239,1.585.125,4
11.141,-20.204,-14.856.239,1.585.125,4
11.072,-20.132,-14.856.239,1.585.125,4
10.958,-20.045,-14.856.239,1.585.125,4
10.855,-19.948,-14.856.239,1.585.125,4
10.768,-19.868,-14.856.239,1.585.125,4
10.704,-19.828,-14.856.239,1.585.125,4
10.658,-19.834,-14.856.239,1.585.125,4
10.602,-19.845,-14.133.882,10.735.386,4
10.547,-19.842,-14.133.882,10.735.386,4
10.523,-19.834,-14.133.882,10.735.386,4
10.493,-19.834,-14.133.882,10.735.386,4
10.492,-19.831,-14.133.882,10.735.386,4
1.051,-19.831,-14.133.882,10.735.386,4
10.536,-19.813,-14.133.882,10.735.386,4
10.515,-19.777,-14.133.882,10.735.386,4
10.428,-19.762,-14.133.882,10.735.386,4
10.334,-19.776,-14.133.882,10.735.386,4
10.194,-19.788,-14.133.882,10.735.386,4
1.009,-1.981,-14.133.882,10.735.386,4
1.001,-19.836,-14.133.882,10.735.386,4
9.908,-19.854,-14.133.882,10.735.386,4
9.858,-1.987,-14.133.882,10.735.386,4
9.759,-19.872,-11.780.278,8.277.815,4
9.649,-19.873,-11.780.278,8.277.815,4
961,-1.984,-11.780.278,8.277.815,4
9.639,-19.786,-11.780.278,8.277.815,4
9.765,-19.736,-11.780.278,8.277.815,4
9.824,-19.735,-11.780.278,8.277.815,4
9.781,-19.748,-11.780.278,8.277.815,4
9.689,-19.745,-11.780.278,8.277.815,4
9.621,-19.729,-11.780.278,8.277.815,4
9.629,-19.698,-11.780.278,8.277.815,4
9.652,-1.965,-11.780.278,8.277.815,4
9.619,-19.603,-11.780.278,8.277.815,4
956,-19.544,-11.780.278,8.277.815,4
9.498,-1.947,-11.780.278,8.277.815,4
9.473,-19.384,-11.780.278,8.277.815,4
948,-19.329,-1.335.865,1.007.485,4
9.455,-19.338,-1.335.865,1.007.485,4
9.392,-19.419,-1.335.865,1.007.485,4
934,-19.505,-1.335.865,1.007.485,4
9.336,-19.567,-1.335.865,1.007.485,4
9.371,-19.594,-1.335.865,1.007.485,4
9.417,-19.591,-1.335.865,1.007.485,4
9.455,-19.558,-1.335.865,1.007.485,4
9.456,-19.513,-1.335.865,1.007.485,4
9.495,-19.455,-1.335.865,1.007.485,4
9.513,-19.409,-1.335.865,1.007.485,4
9.513,-19.384,-1.335.865,1.007.485,4
9.492,-19.373,-1.335.865,1.007.485,4
942,-19.354,36.765,23.649,4
